Phase Number,Phase Name,Step,Category,Task,Acceptance Criteria,Cursor Prompt,Status,Notes
2,Backend Integration,2.4,Auth,Implement Google OAuth via Supabase,"User can sign in with Google; session persists; sign out works","Implement Google OAuth authentication for Grip Kitchen using Supabase Auth. Create login screen: minimal centered card on gray background (Notion-style) with logo, tagline, and single Continue with Google button. Handle auth state in root layout — redirect unauthenticated users to login. Add sign out in Settings.",,
2,Backend Integration,2.5,Auth,Create user profile on first sign-in,"New Google users get a row in users table automatically","Implement automatic user profile creation for Grip Kitchen on first Google sign-in. Use a Supabase trigger or client-side upsert to insert into users table with id and email from auth.users.",,
2,Backend Integration,2.6,Test,Verify auth + RLS isolation,"Two test accounts cannot see each other's data","Test Supabase auth and RLS for Grip Kitchen. Verify authenticated queries work and unauthenticated access is blocked. Document how to test RLS with two accounts.",,
3,Core CRUD & State,3.1,Logic,Build unit conversion utility,"Converts g↔kg, ml↔L; handles flexible custom units with best-effort conversion","Create a unit conversion utility for Grip Kitchen. Support metric units (g, kg, ml, L, each). Handle flexible custom unit names with best-effort conversion. This is critical for recipe scaling and inventory deduction — a recipe calling for 200g must correctly deduct from inventory tracked in kg.",,
3,Core CRUD & State,3.2,Logic,Build recipe scaling calculator,"Formula works: (newServings / baseServings) * requiredQuantity; used in UI and deduction logic","Implement dynamic recipe scaling for Grip Kitchen. Formula: (New Servings / Base Servings) * Required Quantity. Create a useRecipeScaling hook and utility functions. Scaling must apply in recipe UI, meal plan target_servings, and auto-deduction logic.",,
3,Core CRUD & State,3.3,Logic,Build cost calculation utility (AUD),"Per-ingredient cost, total meal cost, and per-serving cost calculated in AUD","Create cost calculation utilities for Grip Kitchen in AUD. Calculate per-ingredient cost (scaled quantity * price_per_unit), total meal cost, and per-serving cost. Handle unit conversion when computing costs. Format currency as AUD ($).",,
3,Core CRUD & State,3.4,CRUD,Storage locations CRUD,"User can create, rename, reorder, delete custom storage locations in Settings","Implement storage locations CRUD for Grip Kitchen. Users manage custom locations (Pantry, Fridge, Freezer, etc.) in Settings. Support create, rename, reorder (sort_order), and delete. Assign location when adding/editing inventory items.",,
3,Core CRUD & State,3.5,CRUD,Inventory management hooks and services,"Full CRUD for inventory; category field; min_threshold per item; expiration_date; price_per_unit","Build inventory management hooks/services for Grip Kitchen. CRUD operations for inventory items with fields: name, category (Produce, Pantry, Dairy, etc.), quantity, unit_of_measure, price_per_unit (AUD), expiration_date, location_id, min_threshold (per-item reorder threshold). Create useInventory hook with React Query or similar.",,
3,Core CRUD & State,3.6,UI,Pantry list view (mobile),"Spacious list with location filter tabs; inline expiry color highlighting; tap to edit","Build the mobile Pantry view for Grip Kitchen. Spacious list layout with location filter tabs at top (from storage_locations). Color-code rows for expiry status (amber=expiring soon, red=expired, green=in stock). Tap-only to open edit. Include per-tab search. Empty state: text + CTA button only.",,
3,Core CRUD & State,3.7,UI,Pantry spreadsheet view (desktop),"Full spreadsheet with inline cell editing, sortable columns, bulk select/delete","Build the desktop Pantry spreadsheet for Grip Kitchen. Full spreadsheet with columns: name, category, location, quantity, unit, price/unit, expiration, min threshold, status. Inline cell editing (click cell to edit). Sortable columns. Bulk select and delete. Dense/pro density. Color-coded expiry rows.",,
3,Core CRUD & State,3.8,UI,Add/Edit inventory item form,"Form works on mobile and desktop; location picker; category picker; min threshold field","Create add/edit inventory item form for Grip Kitchen. Fields: name, category, quantity, unit, price per unit (AUD), expiration date, storage location, min threshold. Works on both mobile (full screen) and desktop (modal or panel). Validate units.",,
3,Core CRUD & State,3.9,CRUD,Recipe CRUD with inventory linking,"Recipes link ingredients to inventory items via recipe_ingredients join table","Build recipe CRUD for Grip Kitchen. Recipe fields: title, instructions, base_serving_size, time_to_cook, dietary_tags (predefined presets + custom tags), hero_image_url. Ingredient linking UI: select inventory items and set required_quantity. Join table recipe_ingredients maps recipes to inventory.",,
3,Core CRUD & State,3.10,UI,Recipe list and detail views,"Mobile: 2-column photo grid. Desktop: grid or list with filters. Detail shows scaled ingredients, stock status, cost breakdown","Build recipe list and detail views for Grip Kitchen. Mobile: two-column grid with hero photos (spacious cards). Desktop: grid with dense metadata. Recipe detail: serving size scaler, ingredient list mapped to inventory with in-stock (green) vs missing (red) highlighting, full per-ingredient AUD cost breakdown, total and per-serving cost. Filters: time to cook, dietary tags, cook with X ingredient (reverse lookup).",,
3,Core CRUD & State,3.11,UI,Recipe create/edit form (desktop single page),"Single long scrollable form with live stock check and cost preview","Build the desktop recipe create/edit form for Grip Kitchen as a single long scrollable page. Sections: basics, hero photo, ingredients (link to inventory), instructions, dietary tags. Show live preview of scaled cost and stock availability as user edits.",,
3,Core CRUD & State,3.12,UI,Recipe photo upload,"Upload from camera/gallery, paste URL, auto-pull from URL import","Implement recipe hero photo handling for Grip Kitchen. Support: camera/gallery upload to Supabase Storage, paste image URL, and auto-pull hero image when importing recipe from URL. Photos required on recipe cards.",,
3,Core CRUD & State,3.13,Test,Verify CRUD end-to-end,"Can create inventory, create recipe linked to inventory, see stock status on recipe","Test Grip Kitchen CRUD flows end-to-end. Create inventory items, create a recipe linking those items, verify stock highlighting and cost breakdown on recipe detail. Test scaling servings and verify quantities update.",,
4,Advanced Logic,4.1,Logic,Mark recipe as cooked — auto-deduct inventory,"Atomic transaction subtracts scaled quantities; meal_plan.is_cooked = true","Implement onMarkRecipeCooked for Grip Kitchen as an atomic operation (Supabase RPC or Edge Function preferred). Steps: 1) Fetch meal_plan + recipe, 2) Fetch recipe_ingredients, 3) Calculate scaled quantities from target_servings, 4) Subtract from inventory (with unit conversion), 5) Set is_cooked=true. Full deduct always (no partial serving prompt).",,
4,Advanced Logic,4.2,Logic,Complete shopping — auto-add to inventory,"Checking off items and completing shop adds target_quantity to inventory","Implement shopping list completion for Grip Kitchen. When user checks off items (is_purchased=true) and completes the shop, add target_quantity to corresponding inventory items. Handle new items not yet in inventory (prompt to create). Reset or archive completed list.",,
4,Advanced Logic,4.3,Logic,Smart shopping list generator,"Auto-generates from meal plan gaps + per-item min_threshold shortfalls","Implement smart shopping list generator for Grip Kitchen. Auto-generate items from: (1) out-of-stock ingredients needed for upcoming meal plans, and (2) items below their per-item min_threshold. Allow manual add/remove anytime. Group list by category (Produce, Dairy, Pantry, etc.).",,
4,Advanced Logic,4.4,Logic,Stocktake mode,"Rapid qty adjustment UI; set qty to 0 with reason Wasted logs waste","Implement Stocktake mode for Grip Kitchen. Rapid-entry UI for manual inventory corrections (tap +/- or inline edit quantities). When setting qty to 0, offer reason dropdown including Wasted — which logs to waste_log with cost_wasted calculated from price_per_unit. Accessible from Pantry tab and context-aware FAB.",,
4,Advanced Logic,4.5,Logic,Expiration alert checks,"Background check flags items approaching expiration; inline pantry highlighting","Implement expiration alert logic for Grip Kitchen. Background check (on app load + periodic) for items approaching expiration_date. Display as inline color-coded pantry rows (amber=soon, red=expired). In-app only — no push notifications. Show expiring items summary on Today dashboard.",,
4,Advanced Logic,4.6,Logic,Ingredient stock checking for recipes,"Recipe view accurately shows in-stock vs missing based on scaled quantities","Implement ingredient stock checking for Grip Kitchen. For each recipe ingredient, compare scaled required_quantity against inventory quantity (with unit conversion). Highlight in-stock (green) vs missing (red). No substitution suggestions — missing only.",,
4,Advanced Logic,4.7,Test,Verify inventory deduction and addition flows,"Cook a meal → inventory decreases. Complete shop → inventory increases. Units convert correctly.","Test Grip Kitchen advanced logic. Mark a meal as cooked and verify inventory deduction with correct scaling and unit conversion. Complete a shopping trip and verify inventory addition. Test stocktake waste logging. Test shopping list auto-generation from meal plan + low stock.",,
5,UI/UX Implementation,5.1,UI,Today dashboard (mobile home),"Shows today's planned meals first, expiring items summary below, quick links","Build the Today dashboard for Grip Kitchen — mobile home screen. Priority layout: today's planned meals (from meal_plan) with mark-as-cooked action, expiring items summary below, quick links to Shop and Pantry. This is the default landing tab on mobile.",,
5,UI/UX Implementation,5.2,UI,Today dashboard (desktop),"Compact dashboard with today's meals, expiring items, shopping list preview","Build the desktop Today dashboard for Grip Kitchen. Dense layout: today's meals, expiring items table, upcoming meal plan snippet, shopping list preview. Sidebar navigation visible.",,
5,UI/UX Implementation,5.3,UI,Meal planner — month view,"Calendar grid with recipe chips per day; flexible meals per day","Build meal planner month view for Grip Kitchen. Calendar grid showing planned meals as chips on each day. Support flexible number of meals per day (not fixed B/L/D slots). Drag/drop or tap to assign recipes. Show target_servings per entry.",,
5,UI/UX Implementation,5.4,UI,Meal planner — week view,"7-day column view with meal entries; assign recipes to days","Build meal planner week view for Grip Kitchen. 7-column week layout with meal entries per day. Assign recipes with serving count. Mark as cooked from this view.",,
5,UI/UX Implementation,5.5,UI,Meal planner — agenda view,"Scrollable upcoming meals list sorted by date","Build meal planner agenda/list view for Grip Kitchen. Scrollable list of upcoming planned meals sorted by date. Compact rows with recipe name, date, servings, cooked status.",,
5,UI/UX Implementation,5.6,UI,Shopping list view,"Category-grouped checklist; tap to check off; manual add/remove; complete shop button","Build the Shop tab for Grip Kitchen. Category-grouped checklist (Produce, Dairy, Pantry, etc.). Tap-only check-off (no swipe). Manual add/remove items. Complete Shop button triggers inventory addition. Show auto-generated vs manual items. Per-tab search.",,
5,UI/UX Implementation,5.7,UI,Settings page (full scope),"Dark mode toggle, AUD currency, locations, categories, unit prefs, export, account delete, sign out","Build full Settings page for Grip Kitchen. Include: dark mode toggle (manual, not system), currency display (AUD fixed), storage locations management, default categories, unit preferences (metric), data export (CSV/JSON), account delete, sign out. Subtle PWA install hint here.",,
5,UI/UX Implementation,5.8,UI,Search per tab,"Each tab has its own search filtering relevant data","Implement per-tab search for Grip Kitchen (no global Cmd+K). Today: search meals. Pantry: search inventory. Recipes: search + filter by time, diet, ingredient. Planner: search planned meals. Shop: search list items.",,
5,UI/UX Implementation,5.9,UI,Dark mode implementation,"Manual toggle persists; all screens support light and dark themes","Implement manual dark mode toggle for Grip Kitchen across all screens and components. Persist preference in local storage or user settings. Verify contrast and status colors work in both themes.",,
5,UI/UX Implementation,5.10,UI,Subtle animations,"Gentle fades and slide transitions throughout app","Add subtle animations to Grip Kitchen: gentle fade transitions between screens, slide for modals/panels, satisfying check-off feedback on shopping list. Keep animations minimal for speed.",,
5,UI/UX Implementation,5.11,UI,Empty states for all tabs,"Text + CTA button on every empty tab; no illustrations","Add empty states to all Grip Kitchen tabs. Text description + single CTA button only (no illustrations). Examples: No pantry items yet → Add your first item. No recipes → Add or import a recipe. No meal plan → Plan your first meal.",,
5,UI/UX Implementation,5.12,Test,Full UI walkthrough both layouts,"All 5 tabs functional on mobile and desktop; design system consistent","Walk through all Grip Kitchen screens at mobile (375px) and desktop (1280px) widths. Verify design system consistency: bold modern mono, soft rounded cards, status colors, spacious mobile, dense desktop. Fix layout bugs.",,
6,Advanced Features,6.1,Feature,Recipe URL import (best-effort scrape),"Paste URL → parse title, ingredients, instructions, hero image → review → save","Implement recipe URL import for Grip Kitchen with best-effort scraping. User pastes a URL, app attempts to extract title, ingredients list, instructions, and hero image. Show review screen before saving. Map scraped ingredients to existing inventory items. Auto-pull hero image when available.",,
6,Advanced Features,6.2,Feature,Barcode scanning (Open Food Facts),"Mobile camera scans barcode → Open Food Facts lookup → prefill name/category → add to inventory or shop list","Implement barcode scanning for Grip Kitchen mobile PWA. Use device camera to scan barcode, query Open Food Facts API for product name and category suggestion, prefill add-item form. Allow adding to inventory or shopping list. Cache barcode mappings in barcode_cache table for reuse.",,
6,Advanced Features,6.3,Feature,Waste logging via stocktake,"Setting qty to 0 with reason Wasted creates waste_log entry with cost","Implement waste logging for Grip Kitchen through stocktake mode. When user sets inventory quantity to 0 and selects reason Wasted, create waste_log entry with quantity_wasted and cost_wasted (from price_per_unit). No separate waste report page for v1.",,
6,Advanced Features,6.4,Feature,Dietary tags (presets + custom),"Predefined tags available; user can add custom tags; filter recipes by tags","Implement dietary tags for Grip Kitchen. Provide predefined presets (Vegetarian, Vegan, Gluten-Free, Dairy-Free, Keto, etc.) plus allow custom freeform tags. Use tags in recipe filter on Recipes tab.",,
6,Advanced Features,6.5,Feature,PWA configuration,"Web app manifest, icons, installable; subtle install hint in Settings","Configure Grip Kitchen as an installable PWA. Add web manifest, app icons, theme colors matching design system. Subtle install hint in Settings only (no aggressive banner). Verify Add to Home Screen works on iOS and Android.",,
6,Advanced Features,6.6,Feature,Data export,"Export inventory and recipes as CSV/JSON from Settings","Implement data export in Grip Kitchen Settings. Export inventory and recipes as CSV or JSON download. Include all user data fields.",,
6,Advanced Features,6.7,Test,Test URL import and barcode flows,"URL import parses a real recipe site; barcode scan returns Open Food Facts data","Test Grip Kitchen URL import with 2-3 real recipe URLs. Test barcode scanning with a known product barcode and verify Open Food Facts lookup and form prefill.",,
7,Testing & QA,7.1,Test,Unit conversion edge cases,"g↔kg, ml↔L, custom units, zero quantities handled without crashes","Write and run tests for Grip Kitchen unit conversion edge cases. Verify: 200g deducts from 1kg correctly, ml/L conversions, custom unit names, zero/negative quantity guards.",,
7,Testing & QA,7.2,Test,Recipe scaling edge cases,"Fractional servings, double/triple recipes, single serving all work","Test Grip Kitchen recipe scaling with edge cases: 0.5 servings, 2x, 3x base recipe. Verify UI and deduction logic match.",,
7,Testing & QA,7.3,Test,Inventory transaction integrity,"Concurrent cook + stocktake doesn't corrupt data; RPC is atomic","Test Grip Kitchen inventory transaction integrity. Verify mark-as-cooked RPC is atomic. Test concurrent stocktake adjustments don't corrupt quantities.",,
7,Testing & QA,7.4,Test,Cross-browser web testing,"Works in Chrome, Safari, Firefox on mobile and desktop","Test Grip Kitchen web build in Chrome, Safari (iOS), and Firefox at mobile and desktop widths. Fix any compatibility issues.",,
7,Testing & QA,7.5,Test,Auth session persistence,"Session survives page refresh; expired session redirects to login","Test Grip Kitchen auth session persistence across page refresh and tab close/reopen. Verify expired sessions redirect to login gracefully.",,
7,Testing & QA,7.6,Test,Responsive regression,"375px, 768px, 1280px layouts all correct; tablet uses mobile nav","Regression test Grip Kitchen responsive layouts at 375px, 768px, and 1280px. Confirm tablet (768px) uses mobile tabs + FAB not sidebar.",,
8,Deployment,8.1,Deploy,Configure Expo web export for Vercel,"expo export:web produces static output; vercel.json routes configured","Configure Grip Kitchen for Vercel deployment. Set up expo export:web output targeting. Create vercel.json with correct rewrites for Expo Router SPA routing. Document build command.",,
8,Deployment,8.2,Deploy,Set up Vercel project,"Vercel project created; env vars set; deploy succeeds","Deploy Grip Kitchen to Vercel. Set environment variables: SUPABASE_URL, SUPABASE_ANON_KEY. Verify production build deploys successfully.",,
8,Deployment,8.3,Deploy,Configure Supabase production auth,"Google OAuth redirect URLs include production Vercel domain","Configure Supabase Auth for Grip Kitchen production. Add Vercel production URL to Google OAuth redirect URIs and Supabase allowed redirect URLs.",,
8,Deployment,8.4,Deploy,Supabase Storage for recipe photos,"Storage bucket created with RLS; photo upload works in production","Set up Supabase Storage bucket for Grip Kitchen recipe photos. Configure RLS policies so users can only access their own uploads. Test upload in production.",,
8,Deployment,8.5,Deploy,Production smoke test,"Login, CRUD, cook, shop, PWA install all work on live URL","Run production smoke test on deployed Grip Kitchen. Test: Google login, add inventory, create recipe, plan meal, mark cooked (deduct), generate shop list, complete shop (add), PWA install from Settings hint.",,
8,Deployment,8.6,Deploy,Document local dev setup,"README with setup steps, env vars, and run commands","Create README.md for Grip Kitchen with: project overview, local dev setup (npm install, env vars, expo start), Supabase setup steps, deployment notes, and architecture summary.",,
